seed_hex               ,key_hex                
32 6F E6 5C 98 FD F4 40,31 A9 D9 93 62 25 F8 AF
10 F5 93 F6 5D 53 87 71,CB 0F 09 A9 E5 5D B7 07
85 1A 4F 27 64 AE 92 7E,32 90 85 9E C2 0F 1B D6
BF 0F AE 07 F2 15 8D 45,60 C8 21 83 8C 6E FD 0D
49 79 3B AA 6C D2 5D 8C,24 BA F5 86 EB 2B 14 49
03 CF E4 77 C1 28 39 42,DA DF 58 63 FD 21 54 9A
19 0E 71 A2 74 ED ED 02,4C 04 4D B8 69 67 2B 61
35 32 C7 FD 6C 45 07 3E,F0 F4 83 24 B3 D9 96 E6
AB 89 7A A7 BB 72 01 4C,FE 23 09 A5 A9 BA 2F 00
34 54 91 FA 21 4A CB 08,17 07 68 01 A7 39 DE DB
B8 58 B9 EC BD DC B4 99,C3 37 AE C7 22 00 BD 76
B5 07 47 B4 53 F3 4D 49,BB 78 36 A1 2B 71 1E D2
58 FE 7A FD B3 B3 62 C1,BF 36 12 75 8E 18 75 9C
6A B9 5D 53 22 C8 A3 5B,E5 50 63 C2 D0 F7 15 24
38 30 43 EF C4 E6 72 45,68 8D B0 BC E1 F1 10 F9
E1 C2 89 B4 61 0C EB 49,3F 14 B8 C6 9E 9C 70 6A
54 98 B0 DB 33 A5 97 41,34 E5 C8 77 FD 92 4A A9
57 AB C2 40 15 F9 D5 52,A1 77 26 65 A0 2B CA 23
70 07 5E 33 EB FE 55 09,BB DA 9D B7 34 C5 40 FF
1D DF C2 4F DA D6 4A EE,B3 1F 9B 53 55 55 4D 3A
FD A1 FB EC B4 C8 E4 09,A5 60 78 1E EC CA D3 D1
2E C3 05 E2 11 8C F0 B0,74 50 35 DB DA 2C BE EE
63 65 E5 2D 02 85 B8 70,F8 AD 74 7D E5 85 57 AB
34 8C 58 69 8F 81 6D A0,85 BB 32 F1 36 9A 21 74
A7 BE 44 02 6C 98 CA 60,C8 54 2C 07 EA D1 11 CE
99 9A E5 E8 60 E1 E8 E6,29 2D CB 06 17 67 BE E6
3E 3F B1 9D 7C DC CF CA,DA 66 36 54 DC DE 32 AF
79 32 27 81 52 43 93 99,C7 7F AE 21 29 97 D9 4B
55 29 A7 E8 0F 2B 4F FE,2E 80 17 8D 90 C6 B5 72
D2 34 76 D8 BF 54 FA 87,58 92 07 60 86 16 57 7C
EC C2 02 79 20 74 7F B6,C5 DF F6 11 04 83 10 71
60 8D D8 D5 19 CF 50 6A,88 E5 DE 26 8D B1 E2 86
4B 87 30 35 DD F7 AF 3B,27 F7 3D D6 7D 75 14 BC
C2 D1 CA 1A FA 54 AC 59,F7 50 7A 5C E3 C8 25 62
F0 12 4B 53 20 35 25 19,DC F4 56 9F 33 91 A8 FA
8B 46 24 D0 06 25 41 02,19 C5 F0 1A 50 FC 5F DA
31 0C E0 D7 1E 2D FC 31,0F 27 6A D3 C3 59 FF 5B
03 3E 01 BE 38 95 4D 06,7B 9C 3A 9E 1A 0C 8C AF
F3 AF C0 40 49 F6 9D 5A,56 87 25 E3 55 EA 01 DA
4E 21 12 53 CA CB 41 C7,98 59 5C C5 54 FF A9 02
AC E3 BB 06 C7 CC 48 18,74 CE 65 D5 88 C8 B2 30
AA 13 45 49 93 52 94 62,6C A4 EC 1A 35 AD 62 91
24 6C FC 20 8A 2A 30 A6,3E CB 44 6E 87 F6 A7 E7
29 82 76 95 53 5F 6C 25,87 4C 5F ED FA 5B B5 1D
2B 98 83 46 A5 FF 9C 03,34 FE CE 7F FB E2 B4 C4
E1 10 EA 16 FE 72 ED D0,62 89 F9 E7 C6 A4 35 18
F9 11 60 1E FF DD 8C 49,29 B1 D0 0F 5C F7 1A 85
E8 7E C8 2D 47 8A 0A F9,EE AC 68 2C 15 36 D4 F2
08 8E 7D FA 77 32 2D 25,51 82 22 78 AD 14 18 21
67 AF EE 3E 18 A4 B0 11,93 A2 35 3F 81 A4 B7 FF
B6 11 D9 A1 92 E0 A5 17,1F AC 73 8B 67 09 6A 2C
18 AB E8 5F D7 87 FB 20,AD 38 B4 92 0D D4 F4 CD
24 AA 8A F6 A8 84 5F A9,FB 32 B0 05 BB 8F 60 9B
C5 62 94 CF 04 71 BE 06,2A E2 A2 6F D1 D5 BB 81
03 9C 58 F0 39 08 A2 A8,A7 62 44 BC FD CD 20 A3
9E 4C E2 4F A8 C6 05 78,7F 41 6F C0 33 2B BC 53
70 B8 C6 82 92 78 7C 5A,0F AA 8C 61 F7 E9 CF 66
5C D4 40 9F 1E 67 06 6C,46 EB 02 12 69 86 39 E1
7B 2A 41 97 D4 BA BE 9C,CA 2B 7D 39 7D DE 66 A2
57 D6 8C 42 ED 26 47 05,39 C6 D1 AD 61 4D 52 31
23 4B 29 71 F3 9B A6 13,D3 83 58 78 77 BE E2 5C
7A 81 58 60 E5 16 25 64,AB 80 B3 45 4C 14 A9 1D
F3 1D E1 D8 2E 56 1A 84,8A 23 50 3B E9 7A 0D 81
95 31 1F 53 E5 D0 D2 98,9F 64 70 06 EA 2D D9 DB
8D 2A 31 CA 43 E6 4F 34,23 E7 9D C0 2C 66 32 14
2C C2 82 F8 10 DA 87 F2,B1 05 FF 13 8B 0E 60 D9
53 76 A1 6A 8E 6E 16 D8,B3 31 97 17 3E A6 F6 C0
01 08 F1 2B 0E 02 80 F3,55 A2 2B 73 F4 57 07 25
A2 C7 23 79 FD 7E 07 15,4E 20 7E 5A 2C 66 DF 0E
C9 BA 10 C9 02 71 C2 E6,F6 3E AC 5D E1 27 18 0A
F6 FD 0C 01 B3 B7 81 1C,21 B1 02 13 8C C8 85 97
C5 D5 03 5D 9D 25 99 C8,5F 5B 6A 1D 57 A8 B3 4F
E2 24 91 CC E5 DD 68 FD,32 16 42 AF FA 27 C0 24
C3 68 4B 7A 16 5C 54 68,36 BE C8 00 19 6C F7 EB
72 4C 41 38 DE BD 8F 60,2C EA 04 5C 93 8B 0C 4F
62 0F C1 02 59 BB D0 B4,71 B6 42 E7 BB 22 48 C3
F0 E1 11 2D 6B A8 4A AD,F6 D5 26 CF 43 97 E4 BA
31 8F 46 ED C4 1F 29 14,AD 1B D5 24 33 80 2D 14
A6 6A B7 DB 55 6A DB 04,06 93 5C AA D2 52 6B 98
A5 0B 4C 37 3B 60 15 57,B7 CF DD A1 7B DF 3B E4
33 84 2D 74 D3 8A 80 8F,24 4A 95 3C 8F A7 48 42
B1 D4 30 C9 F7 B7 7E 97,0F E9 14 20 40 EE 76 9D
74 89 24 F9 35 DB 6A 05,79 EF 4E F9 99 47 B8 BB
4B EF 0C 65 FF 22 AF 81,66 B1 C1 B0 64 71 19 48
49 C0 59 A2 DA E8 41 5C,72 4E 18 89 CA B4 27 45
1B 15 F6 F0 89 E4 BF BE,42 D1 4B 1C 4C 9B C2 58
9E 41 73 BF EA 34 E3 9C,73 F5 AB 0D FD 84 2D 1F
DE 42 D4 5C BD B6 26 D9,FF 88 57 3D 39 A4 7C 51
ED 27 CE A1 61 67 87 BF,1A 15 67 BC DA 73 65 15
0B C9 3E 15 58 19 6B C2,4E 3A BD 73 9A DE 6F 7B
37 88 10 89 6E 99 A2 93,85 BE 1C BF 4E 16 DC 55
E2 25 60 A2 64 17 A7 A5,E4 0A D4 0F C6 73 B4 BE
91 3E 34 B4 AE DF BA CB,58 F0 35 C4 B7 75 69 31
69 FA D0 FD 41 E8 38 89,6A F8 81 9B 47 21 58 F1
E5 78 28 AB A4 43 FE 08,51 B0 A2 D6 BB 6F 27 E8
10 28 90 6A C8 76 35 72,3F E0 D3 DE D5 D3 FC CD
E2 D4 33 2B 5E 2C DF D7,6D CF 74 F6 F8 E0 73 62
6C 84 27 B7 62 44 5E A2,FD 50 07 BC E0 BD 3D A2
8E FD F8 B3 C5 8B 1D 7A,CE 76 61 FB 57 17 38 B4
86 19 61 2C 4E 75 B9 29,00 76 9F 94 0D 7C 16 40
EB 23 A9 3D 6C 81 C7 9F,BA 5C 9C 07 E9 41 75 CD
45 3F 35 68 78 39 35 FE,1E 16 8D AE FC CF 90 25
9C 60 5F F7 9A 49 90 A5,9D C9 48 7D 60 EA 68 79
08 DB 6B 57 1B 90 62 30,D8 C0 D9 C9 3C 2D 2B 6C
62 67 E6 D8 D3 7C 53 75,FB F7 08 70 63 CB D2 F6
CA 6D F0 7A 00 D9 55 79,A9 4E B7 DC AF 5F E2 9C
65 B5 C1 77 0B 01 B8 A1,FD EA 7B 5D 1E 49 0E AE
F2 B3 5B 7B 4D F8 82 8E,80 F6 5E B9 8D 6E 86 73
49 64 3D 96 F7 26 5B 9A,4C 8C B4 10 33 58 21 63
7C 8B 87 9F 39 29 72 47,D6 77 69 8B EA 9B F8 E7
50 D3 BA 82 00 1C 2D 68,E6 AF 44 E5 DE CC 1E 95
27 16 E1 25 26 7B 94 D4,9F BA 56 69 25 9A CC 36
C5 10 98 16 5C AF 5A BF,82 BD 86 5F B4 5C 43 89
66 EC F1 EC 01 AC FA CC,3D 77 EC 45 7B 18 3E F2
5E F4 2A 83 AF 8C 01 00,76 BE 26 E4 FE 84 DF 45
0A 1A 84 49 D0 84 E7 E8,DB D1 7D 29 0E 16 D1 07
73 12 7A C7 EF 91 07 1C,62 00 F3 97 77 7F AF 9A
FE 65 3D 25 8E 3C D6 57,2A BA 8E 28 90 44 8C A0
29 B5 8F 80 2A 70 EF 6A,1F 7D 82 97 8E 6F 7B B6
CB 11 DE 26 95 22 7C DE,D5 5E E2 58 9E 48 A1 5E
17 5C 1E 40 2B 6D F9 5E,73 9D 64 3A 38 16 4B 79
23 EE F7 C1 75 C3 46 67,52 DC 1F 42 DD AD EC B1
DC E7 0B 5E 38 D4 DE FE,41 1B 5C 52 06 09 48 B7
67 92 FF 3B 5A 6F 32 86,AA 99 16 73 11 0E 66 30
63 E2 58 83 78 1F C9 6E,39 9A 91 3C 34 F0 13 01
F3 11 B3 2B 21 0D D4 96,C6 79 D5 B1 BE 5C 04 2F
24 0E EC 2F 96 A0 D0 2D,C2 35 52 44 A7 02 25 B7
4D DB 30 4A 4C FB F0 DF,C4 4B C4 06 D4 CD 4A F2
14 7C 66 58 E6 CC 10 66,6F 7C 36 87 E4 1D F9 87
54 29 81 16 34 FD 26 06,84 D3 EF 2D CA A2 15 64
8A B0 FB FF 5C A8 D9 98,43 89 B0 4E 2E D0 5B 0B
CB 7C 7F 67 33 F2 3E 87,65 71 93 1D D8 C4 8A 95
52 B3 A9 92 51 29 53 CA,C9 A4 94 02 01 0C 63 6B
A6 4F 9F C5 BD FE 9D 0D,65 A6 9A 09 85 71 B1 AA
68 CB 95 11 C1 6A F5 55,C7 33 2C F1 2A BD 14 17
98 45 87 5B 63 EA F0 60,A9 96 10 30 BC 33 9F 00
40 2F 5C F0 CB E8 C1 54,89 C5 C9 2A D8 26 9C F7
23 69 EF 71 48 EE 5F CF,8C 4E 87 C8 FE D5 E8 9C
57 F2 D0 7D 17 09 7B DE,A6 F1 1D 5F 58 5F 86 4E
6D 9D B2 3C 89 A9 BE B3,AA 01 37 D6 3C 0B 10 DC
FC F8 58 17 44 31 DD A6,17 95 97 AF 0A 1F 36 B7
8F 6C 4C 38 8B 1C 5D 66,09 59 49 0A 71 05 A5 98
E8 5E 87 F7 58 81 D1 1B,ED 0E BF FE 54 4B 2E E8
6F 83 6B AD 7E F9 3A FA,00 01 96 0E 34 34 F0 96
58 58 0E 2A EF C9 13 05,AB 6C 3A 2A 52 79 D0 FB
8A 23 DE 70 73 4B F2 3E,D5 50 CC F6 1D 4A A8 9F
86 A8 3A 6B EE 11 C7 74,40 87 A7 45 8B 8A 54 39
D6 91 79 FD 72 8D 2D B5,E9 1F 91 2E 46 02 1B FD
10 1F 82 76 82 33 95 1E,E3 12 3F FC BD 36 62 1B
3A 3D 68 2E CF 61 B8 21,E0 A1 55 53 BF BC 86 C3
25 8A 68 3C 22 BE 5E F6,9F D1 DA 97 03 8B 77 B2
9F 09 5B 8C 0B 18 EC 43,E5 0C 53 E1 97 3A 3F AF
86 8B BC 37 89 FD F6 74,50 F4 BC 8E 5E FC D3 DB
6D 13 01 16 2D 55 2D F1,BB A4 51 D6 12 F7 6B 1B
11 2F E7 A3 F0 69 C1 36,0B C1 81 B7 38 29 F1 67
89 6E DA 61 06 DA 41 B8,E3 F9 69 5C 09 69 06 5A
D5 33 92 23 7C D2 57 06,7F 4F 25 F1 49 66 43 61
A1 16 EF B7 BE 54 51 D6,8D C8 F9 C1 9B 27 9E C6
46 13 66 F9 B4 EC 42 55,B9 BC 39 7B 11 4A 18 ED
3C 45 49 42 02 2C 24 2A,EB 79 D6 73 BF 0B 56 1D
02 46 9E 93 67 0C 63 11,4C BE B4 11 F5 5F 52 40
2F 6E B1 88 2F BD 63 AA,CD BC 11 66 30 60 F5 62
12 A6 06 D6 16 D1 4F 7A,30 07 FA C7 F6 6C AD B6
1E D8 7D F5 3A 56 D5 81,C8 8F D9 9F DE B7 BB C3
4C 13 7C E4 C4 4A 89 36,CA 5E 6E 8E 24 6E D1 E6
6C 84 58 E8 9A 7B EA 24,B9 4A B9 A9 0E 3E 68 49
91 97 22 14 78 82 5E 4B,FA 3D 2A 8A 45 E3 6F 81
28 26 61 73 80 E7 2A 9E,EA 6D 08 7D E4 A4 46 DF
48 F8 8D 91 7D E6 26 53,99 9C 32 68 BF B1 67 E2
C0 35 23 98 70 C0 F7 82,79 77 28 4E 90 21 50 03
FD 3F 5B 97 BD E1 FB 59,68 D9 70 6E FC 13 43 64
37 6C 87 37 09 B3 F5 79,55 EA 17 98 FF B9 02 CA
0E F8 62 EF 66 94 8D 66,73 ED 14 5F 64 3C 92 F7
AB CE EF DB 4B 10 12 A2,29 4B 1B 47 6F 06 E4 7A
40 A4 F3 B6 7E F7 0C 81,4F 4F 59 6C 3F 41 8A D2
22 A0 98 BB C5 71 5D 60,D6 C1 7C 43 25 3B FD BC
40 86 6A 56 8D 23 B9 E5,29 20 4C DF EF 18 66 B0
B4 FF 2D 69 62 DA D0 EC,56 A0 4E 34 78 6C B1 41
91 BF 95 BF C5 15 FE 4C,11 1F AB FD 79 1B 25 B6
2B 99 38 44 3B 1D BC 44,93 C4 B5 97 70 7F 02 E8
A6 28 6D 9A EC 06 50 97,95 50 64 3A DB A1 AC 46
39 19 FA FA 10 69 3A 83,AB 7E 3A 57 D3 95 0D 17
1C B6 09 EC 23 BF 36 C1,2C 5C 0D 52 63 DC 39 07
1E 27 9F 48 DA 4B C5 0E,C1 3B 4F FB 68 75 85 7D
A0 47 12 11 FB 40 12 43,81 81 19 66 E6 4B A6 9D
0D 41 29 1F B4 28 44 63,34 78 03 12 3D 49 D9 E9
D2 0E E2 17 33 21 A2 4D,AE C3 50 18 BA 24 D2 6A
11 18 4B A6 EC A1 24 C0,92 5E 2F C0 3B 82 2D 01
F3 97 82 1E 56 8E 0A 69,11 67 B0 B5 8D 74 55 D6
05 56 34 5F 6C DC 50 77,A7 F9 CF A6 C2 98 B9 B9
05 08 FE FE 41 85 D5 E5,19 3F D5 15 3E C3 24 FC
15 AE 4D 58 CE B0 61 C1,A7 33 95 75 C1 5F A9 E0
D7 CB A9 3A E5 2C AC E6,56 52 75 86 C8 88 00 E8
CE B8 0C F5 D6 DE 2F C2,3B ED 46 BA 5E 45 A5 28
E9 BE DB 03 48 86 3B 44,3C 53 A9 DC 1C 3F FB 4B
E1 F9 1F 02 77 94 C0 3F,24 7E 73 C6 43 B7 8B 04
50 C1 AB F9 46 28 F8 2A,C5 A1 E0 F3 37 19 CB 08
96 0E C3 DF A1 AB 14 A6,B2 6B 52 C2 4C 2E 19 B3
5D F4 F6 3F BE 60 A7 7D,C1 20 4E DD 27 A6 A1 C6
D6 65 5E 0B BD 67 2E 0F,0F 3C 21 7D 9D F7 39 3A
C9 8B BC 64 C1 FF FF D4,FD 82 40 DC F3 07 EF 13
83 85 D0 7F 23 B4 E6 25,E7 DF 76 20 73 38 4A FA
E2 23 89 04 F1 9D C7 33,0F 1C 92 CD 16 59 B8 41
CD 4D 7E 89 47 3F 8C F2,B5 97 C1 DF 98 E8 53 3F
06 66 0F 5E E9 C1 24 51,3C B5 8D 7A 17 B8 41 A6
05 8F 6E 65 39 96 06 4E,72 01 83 A6 4F 6D 54 48
B9 06 F5 32 0B 26 3F 8B,31 49 0E 03 24 6B 38 A6
EE 46 CB 0E A9 69 24 2F,38 2C 09 F4 20 11 F0 C1
29 58 CE 12 A8 AB 2A 5E,88 BE DD 42 3C DE 54 EC
A1 79 17 81 A3 E0 DE 3E,A5 0B 95 AB 96 42 B3 1F
B9 31 48 2A 0B D9 A6 91,4F 4E 39 59 7B 6D BE 98
D1 EF E1 80 BD 4A 4B 0C,38 85 C7 35 8E 03 B8 2B
77 FC CB AA 92 37 64 58,3F 6A 57 68 64 23 2A EA
A2 16 6C 21 A5 95 00 DD,2A 04 B5 CE 6D 2D 46 DA
EC E1 DD 14 54 21 E8 92,09 7B 83 82 74 A3 18 91
F5 0F 36 CD 62 8B 3B EB,65 53 22 CF 70 81 69 E9
6A 77 C4 A8 7E 9C DA BC,F4 D1 2D 99 79 E4 F7 D9
3A 2A 4E EE 63 8C 98 DE,C6 1A 66 8C DE 63 34 39
25 4E 6E D7 BD 66 CB 51,FF 87 AB 8C FA E7 2A 57
E9 99 00 AA 8F 19 97 8F,61 FD 8C 35 D1 24 A5 13
7B 84 14 28 D1 F3 50 4E,BE 12 80 DC 13 F4 5F DA
17 93 2B 9C 4F 7D 83 88,07 43 BB B9 28 BF 9F D8
D9 4D 13 4B 47 10 5B F2,68 1E 5A A3 B5 37 54 8E
8B 92 54 B5 94 3A 4D D3,1D 4F 59 83 56 4E D4 03
8E 87 1D 4D 57 A0 85 1A,BC FF 76 59 35 47 E6 AE
E1 4E AF 53 D9 9F 6C 31,C8 AA 60 C8 CB DB 1B C7
1A C9 C0 DF 6A E8 07 D9,A9 FF 4A D6 5A 46 3D 65
73 D1 70 6D D1 DC E7 03,46 2C 57 BB E9 43 C7 9D
66 91 76 D0 3A 36 77 BB,19 8F B2 B4 DD CF F8 5C
ED A4 C2 CC EA 37 78 D4,6C EB 09 6A A3 21 C5 04
08 F8 E6 6C D6 02 FB 3E,C0 25 16 CA 8D 3D 9F 04
2A F4 88 08 E4 D7 10 B0,C5 90 AB 02 5C FC 28 FB
CE E4 04 C7 9A 16 45 42,7A 69 C6 29 91 13 CB F4
EB 3F B0 83 A2 3A FB 9C,FC 68 3F DC FF 77 44 91
2F 24 13 9A E8 10 B2 DD,2B 7E 95 5D BF 64 16 29
EF C8 53 4B EE FB 74 B1,40 82 67 04 40 AF 56 B5
B1 C5 49 F5 BD 6E 7B AE,4C DA AE 67 A7 05 31 A3
7B 84 B7 A2 6E 7B 5C CB,80 07 BC 25 4B F5 78 19
21 CE C9 7E 8B 94 7C CA,0C 4E 3E FC 6A 88 61 4A
27 AC 5D 31 6D C9 76 B1,D4 F5 FA 5C F0 F1 81 05
FF 9F 0E F6 D2 55 B8 4B,D6 48 89 B0 6D 0A DF 99
71 75 EB 94 29 8D AA 52,F1 E2 EE 37 8E 12 CD 86
7E C0 44 51 45 19 03 32,AB F5 2D 48 55 9E DE 2D
EC D8 11 55 27 BD D9 DC,5E 12 F8 DB FA 1E A5 86
DF A4 BE 95 3C 29 9C 4D,68 07 07 00 57 CE 3A DE
8E EE 8F 47 53 8C 3A 97,12 C5 70 DD 3B 97 67 E3
8A 43 67 62 81 61 CB B2,CF 89 CE 8D EB 81 11 AE
A7 8E E0 FD 7B 52 96 4B,0C 6E 87 6F D5 92 A3 49
A4 A6 8C 43 2E B7 9F E3,F0 47 B1 56 AE 3C B6 EF
6E B8 5B A5 DA B3 72 2D,13 96 D3 F3 63 76 2A 73
1B 60 39 CE 50 25 EA AE,5F 7B B4 84 86 03 1B 39
EA 15 12 D1 F7 E3 D5 87,1E 25 91 81 DA FE FB 13
48 B8 81 63 A5 52 AF 54,9C C0 A2 50 4A B2 A0 8D
C6 A0 48 9C 88 CE 25 14,37 EC D2 57 E3 21 C6 E2
92 53 96 47 AB 9A 7B 01,F5 61 B4 23 18 22 F1 C3
CA 2F 02 1C 2F E8 75 DE,59 E5 BF 03 74 91 41 12
DC D2 7C 63 EA D6 7D C1,CA A3 67 11 8C 56 74 CD
F1 54 22 70 99 03 26 57,0F F2 4E 8E C2 BA 02 4E
C8 1B 3C 32 C2 82 17 0B,57 A4 76 70 BD 45 F5 BA
