#TC_ID/PC_ID , Testcase_Description, Service_ID, SubService_ID(DID), Expected_Response_Data, Write_Data, Addressing, Format, Status_Mask, Communication_Type, controltype
ECU_INFO_1 , Platform Version Number DataIdentifier,0x22,0xF17F,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_2 , Platform Hardware Version Number DataIdentifier,0x22,0xF17D,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_3 , Vehicle Manufacturer Spare Part Number DataIdentifier,0x22,0xF187,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO-4 , ECU Software UNIT1 Version Data Identifier,0x22,0xF1B1,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_5 , Vehicle Manufacturer ECU Hardware Number DataIdentifier,0x22,0xF191,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_6 , System Supplier ECU Hardware Version Number DataIdentifier ,0x22,0xF193,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_7 , ECU Manufacturing Date DataIdentifier,0x22,0xF18B,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_8 , ECU Serial Number Data Identifier,0x22,0xF18C,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_9 , ECU Supplier Code DataIdentifier ,0x22,0xF1A1,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_10 , LocalRXSWINDataIdentifier,0x22,0xF1EF,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_11 , ECU Option Information 1 for Master Code ,0x22,0xD401,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_12 , ECU Option Information 2 for Master Code,0x22,0xD402,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_13 , ECU Option Information 3 for Master Code,0x22,0xD403,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_14 , ECU Option Information 4 for Master Code,0x22,0xD404,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_15 , System Name Or Engine Type DataIdentifier,0x22,0xF197,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_16 , ECU Software UNIT Version Data Identifier,0x22,0xF1B0,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_17 , CAN Data Base Version Number DataIdentifier,0x22,0xF100,nan,nan,Physical,Hex,nan,nan,nan
ECU_INFO_18 , ECUSoftwareUnit1IVDDataIdentifier,0x22,0xF1C1,nan,nan,Physical,Hex,nan,nan,nan
SEC_ACC_01 , Start default session,0x10,0x01,50 01 00 32 01 F4,  ,Physical,Hex,  ,  ,  
SEC_ACC_02 , Start Extended session(10 03),0x10,0x03,50 03 00 32 01 F4,  ,Physical,Hex,  ,  ,  
SEC_ACC_03 , Request Seed Tester to ECU,0x27,0x11,nan,  ,Physical,Hex,  ,  ,  
SEC_ACC_04 , Send Key Tester to ECU,0x27,0x12,nan,  ,Physical,Hex,  ,  ,  
SEC_ACC_05 , TEST PRESENT,0x3E,0x00,7E 00,nan,Physical,Hex,nan,nan,nan
ECU_ID_01 , Read ECU Identification Service,0x22,0xED90,nan,nan,Physical,Hex,nan,nan,nan
ECU_SEN_01 , Input Output Record Local Identifier #1(Byte Data),0x22,0xBE02,nan,nan,Physical,Hex,nan,nan,nan
